,EGLL,LFPG,EHAM,EDDF,LEMF,LEBL,EDDM,LIRF,EIDW,ESSA,LPPT,EDDT,EFHK,EPWA,EGPH,LROP,LGIR,BIKF,LICJ,LPMA
EGLL,0.0,347.2,370.4,654.8,1246.0,1147.7,941.6,1443.9,449.3,1462.5,1563.9,947.2,1848.0,1469.6,533.5,2103.8,2714.7,1895.0,1834.2,2471.4
LFPG,347.2,0.0,398.3,449.0,1064.5,858.7,681.6,1100.7,785.0,1539.2,1470.0,850.5,1895.6,1342.5,868.7,1850.1,2389.8,2241.1,1487.3,2421.5
EHAM,370.4,398.3,0.0,366.6,1460.7,1241.1,664.2,1296.8,750.2,1152.2,1846.3,578.2,1521.3,1101.2,666.4,1783.2,2480.9,2037.7,1712.1,2783.5
EDDF,654.8,449.0,366.6,0.0,1422.1,1093.6,299.1,958.1,1086.9,1223.0,1873.8,431.7,1537.9,896.2,1032.9,1449.0,2114.4,2401.2,1378.1,2836.0
LEMF,1246.0,1064.5,1460.7,1422.1,0.0,482.9,1497.0,1329.6,1454.2,2601.3,512.9,1853.6,2947.4,2271.1,1721.1,2458.0,2573.3,2892.3,1473.5,1459.8
LEBL,1147.7,858.7,1241.1,1093.6,482.9,0.0,1094.6,846.9,1485.2,2314.9,994.0,1510.4,2628.1,1869.7,1676.6,1980.5,2114.0,2981.1,1023.4,1922.0
EDDM,941.6,681.6,664.2,299.1,1497.0,1094.6,0.0,729.6,1381.3,1317.3,1983.6,479.6,1574.5,777.3,1330.3,1171.0,1817.8,2691.8,1145.6,2947.9
LIRF,1443.9,1100.7,1296.8,958.1,1329.6,846.9,729.6,0.0,1885.6,2023.1,1838.7,1199.0,2233.7,1327.0,1934.3,1162.5,1332.6,3319.0,420.3,2743.9
EIDW,449.3,785.0,750.2,1086.9,1454.2,1485.2,1381.3,1885.6,0.0,1624.8,1642.5,1308.4,2023.3,1825.5,337.2,2529.9,3163.9,1497.6,2266.5,2451.2
ESSA,1462.5,1539.2,1152.2,1223.0,2601.3,2314.9,1317.3,2023.1,1624.8,0.0,2998.3,838.8,398.6,853.6,1320.3,1764.1,2754.1,2142.5,2417.4,3929.1
LPPT,1563.9,1470.0,1846.3,1873.8,512.9,994.0,1983.6,1838.7,1642.5,2998.3,0.0,2302.7,3363.9,2749.0,1956.1,2970.8,3051.0,2940.1,1951.6,965.1
EDDT,947.2,850.5,578.2,431.7,1853.6,1510.4,479.6,1199.0,1308.4,838.8,2302.7,0.0,1118.8,523.0,1142.6,1291.0,2132.0,2405.7,1606.6,3262.9
EFHK,1848.0,1895.6,1521.3,1537.9,2947.4,2628.1,1574.5,2233.7,2023.3,398.6,3363.9,1118.8,0.0,939.0,1717.7,1752.5,2777.4,2444.3,2601.2,4304.8
EPWA,1469.6,1342.5,1101.2,896.2,2271.1,1869.7,777.3,1327.0,1825.5,853.6,2749.0,523.0,939.0,0.0,1633.9,924.7,1900.5,2804.3,1671.9,3714.1
EGPH,533.5,868.7,666.4,1032.9,1721.1,1676.6,1330.3,1934.3,337.2,1320.3,1956.1,1142.6,1717.7,1633.9,0.0,2419.0,3147.2,1384.6,2338.8,2785.3
LROP,2103.8,1850.1,1783.2,1449.0,2458.0,1980.5,1171.0,1162.5,2529.9,1764.1,2970.8,1291.0,1752.5,924.7,2419.0,0.0,1029.4,3689.6,1283.3,3898.4
LGIR,2714.7,2389.8,2480.9,2114.4,2573.3,2114.0,1817.8,1332.6,3163.9,2754.1,3051.0,2132.0,2777.4,1900.5,3147.2,1029.4,0.0,4505.3,1100.7,3849.1
BIKF,1895.0,2241.1,2037.7,2401.2,2892.3,2981.1,2691.8,3319.0,1497.6,2142.5,2940.1,2405.7,2444.3,2804.3,1384.6,3689.6,4505.3,0.0,3722.2,3502.3
LICJ,1834.2,1487.3,1712.1,1378.1,1473.5,1023.4,1145.6,420.3,2266.5,2417.4,1951.6,1606.6,2601.2,1671.9,2338.8,1283.3,1100.7,3722.2,0.0,2779.6
LPMA,2471.4,2421.5,2783.5,2836.0,1459.8,1922.0,2947.9,2743.9,2451.2,3929.1,965.1,3262.9,4304.8,3714.1,2785.3,3898.4,3849.1,3502.3,2779.6,0.0
